collection_year,source_category,records,mrsa_marker_positive
2015.0,companion_animal,70,15
2015.0,environment,9,6
2015.0,food,263,60
2015.0,human_or_clinical,4912,3135
2015.0,livestock,218,96
2015.0,unknown,653,358
2016.0,companion_animal,38,19
2016.0,environment,13,10
2016.0,food,327,86
2016.0,human_or_clinical,4634,3365
2016.0,livestock,394,206
2016.0,unknown,534,367
2017.0,companion_animal,68,36
2017.0,environment,31,24
2017.0,food,214,63
2017.0,human_or_clinical,7606,5652
2017.0,livestock,473,310
2017.0,unknown,1306,220
2018.0,companion_animal,124,50
2018.0,environment,29,18
2018.0,food,121,66
2018.0,human_or_clinical,9968,5718
2018.0,livestock,424,144
2018.0,unknown,430,333
2019.0,companion_animal,133,58
2019.0,environment,41,20
2019.0,food,188,141
2019.0,human_or_clinical,11398,7461
2019.0,livestock,660,212
2019.0,unknown,1828,905
2020.0,companion_animal,112,65
2020.0,environment,94,48
2020.0,food,130,6
2020.0,human_or_clinical,9560,6671
2020.0,livestock,360,74
2020.0,unknown,362,148
2021.0,companion_animal,178,80
2021.0,environment,34,31
2021.0,food,107,9
2021.0,human_or_clinical,5262,3066
2021.0,livestock,643,122
2021.0,unknown,336,118
2022.0,companion_animal,90,55
2022.0,environment,76,70
2022.0,food,131,88
2022.0,human_or_clinical,5352,2669
2022.0,livestock,519,114
2022.0,unknown,5558,772
2023.0,companion_animal,111,58
2023.0,environment,79,71
2023.0,food,44,4
2023.0,human_or_clinical,4688,2401
2023.0,livestock,126,17
2023.0,unknown,2646,444
2024.0,companion_animal,5,3
2024.0,environment,20,0
2024.0,food,150,34
2024.0,human_or_clinical,1882,1222
2024.0,livestock,109,28
2024.0,unknown,168,69
2025.0,companion_animal,1,1
2025.0,environment,7,0
2025.0,food,140,38
2025.0,human_or_clinical,588,345
2025.0,livestock,79,16
2025.0,unknown,93,50
