country_parsed,iso3,income_group,region,records,mrsa_marker_positive,nonhuman_records,human_or_clinical_records,unknown_source_records,population_latest,population_latest_year,records_per_million_pop,mrsa_per_million_pop
United States,USA,High income,North America,25672,15442,591,24952,129,341784857.0,2025.0,75.1116,45.1805
United Kingdom,GBR,High income,Europe & Central Asia,9955,1302,39,572,9344,69487000.0,2025.0,143.2642,18.7373
China,CHN,Upper middle income,East Asia & Pacific,8684,5121,2188,6066,430,1406585000.0,2025.0,6.1738,3.6407
Netherlands,NLD,High income,Europe & Central Asia,7259,7185,176,6953,130,18087633.0,2025.0,401.3239,397.2327
Denmark,DNK,High income,Europe & Central Asia,5446,3891,190,5226,30,6009169.0,2025.0,906.2817,647.5105
Australia,AUS,High income,East Asia & Pacific,3678,2539,33,3643,2,27614411.0,2025.0,133.1913,91.9447
Japan,JPN,High income,East Asia & Pacific,3361,1779,574,2365,422,123366734.0,2025.0,27.244,14.4204
France,FRA,High income,Europe & Central Asia,2229,411,225,1725,279,68720337.0,2025.0,32.4358,5.9808
Germany,DEU,High income,Europe & Central Asia,2064,1042,335,1372,357,83491249.0,2025.0,24.7212,12.4803
Saudi Arabia,SAU,High income,"Middle East, North Africa, Afghanistan & Pakistan",1720,1487,59,843,818,36973555.0,2025.0,46.5197,40.2179
Switzerland,CHE,High income,Europe & Central Asia,1678,1296,86,1265,327,9092436.0,2025.0,184.549,142.5361
New Zealand,NZL,High income,East Asia & Pacific,1627,407,926,701,0,5324700.0,2025.0,305.5571,76.4362
Mexico,MEX,Upper middle income,Latin America & Caribbean ,1503,64,80,1423,0,131946900.0,2025.0,11.3909,0.485
Spain,ESP,High income,Europe & Central Asia,1098,316,126,694,278,49355143.0,2025.0,22.2469,6.4026
Norway,NOR,High income,Europe & Central Asia,956,357,32,745,179,5610870.0,2025.0,170.3836,63.6265
,,,,728,608,96,242,390,,,,
Italy,ITA,High income,Europe & Central Asia,699,323,172,509,18,58915656.0,2025.0,11.8644,5.4824
