host,records
Homo sapiens,64468
<missing>,15532
Bos taurus,1256
Sus scrofa,537
cow,300
Felis catus,288
Homo sapiens sapiens,277
cattle,231
pig,226
Canis lupus familiaris,222
Oryctolagus cuniculus,215
Sus scrofa domesticus,193
H sapiens,192
Sciurus vulgaris,179
Equus caballus,172
Homo sapinens,172
hedgehogs,161
Pig,127
horse,111
Homo_sapiens,94
environmental sample,92
Ovis aries,86
swine,84
cat,84
yak,83
Pteropus livingstonii,79
Bovine,74
dog,71
bovine,69
Veal,68
Erinaceus europaeus,63
Wild ungulates,58
Cervus elaphus,54
Caprinae,52
Cow,47
Musca domestica,45
duck,43
lactating dairy cow,40
Mus musculus,38
pork,38
Gallus gallus,34
Equus ferus caballus,31
Rabbit,31
dairy product,28
Thryonomys swinderianus,28
Capra hircus,26
Horse,25
canine,24
Camelus dromedarius,24
Holstein,22
goat,21
Rattus norvegicus,19
equine,19
animal,19
Dairy cattle,19
Cattle,18
Macaca mulatta,18
Homo-sapien,18
Wild animal,17
Cat,16
Dog,16
Livestock,15
ready-to-eat food,13
Dama dama,11
sheep,10
feline,9
bird,9
Animal,8
meat,8
Rat,8
Vertebrata,8
fish,8
Primate,7
not collected,7
cattle (dairy),7
chicken,6
Canine,6
Buffalo,5
Environment,5
cattle (meat),5
buffalo,4
Capra aegagrus hircus,4
Environment of nosocomial settings,4
macaque,3
Equus asinus africanus,3
Macaca assamensis,3
rodent,3
Personnel,3
fly,3
Mustela putorius furo,3
Cavia porcellus,3
Megadyptes antipodes,2
Castor fiber (Eurasian beaver),2
Lupus familiaris,2
Holstein Friesian cross (Bos taurus taurus),2
Macaca sylvanus,2
Holstein Friesian cross breed lactating cow,2
Myodes glareolus,2
Apodemus flavicollis,2
Goat,2
