isolation_source,records
<missing>,24801
blood,9434
not collected,7469
throat,2388
Nose,2343
sputum,1645
wound,1334
nasal swab,1135
blood culture,1048
Groin,1022
swab,983
human,777
blood from patients of rural regional hospital,763
skin,741
airway culture,720
surveillance swabs,696
Nursing home,687
Skin and toft tissue infection,682
skin and soft tissue infection,679
milk,586
nasal,582
Bacterial Isolate from bulk tank milk sample,547
food,544
Host,538
urine,495
Pharynx,490
nares,479
blood cultures,448
Skin and Soft Tissue Infection (SSTI),415
nose,368
Nasal cavity,351
nasal cavity,344
clinical,327
Nare,301
hospital,289
screening,275
surveillance swab,275
Skin/Soft Tissue Infection,256
endovascular,248
oral,248
Bacterial Isolate from aseptic quarter milk sample,240
stool sample,229
Right-Cubital-Fossa,225
physical,225
culture,214
feces,207
Nasal Surveillance,201
Pus,193
Right-Popliteal-Fossa,188
patient,187
Tissue,186
Left-Cubital-Fossa,185
cxwnd,183
Dairy farm,174
respiratory samples,172
sp,172
patients,167
Blood culture,161
Left-Popliteal-Fossa,155
Perineum,150
Uppsala Univeristy Hospital,149
AD active lesional skin,145
Right-Forearm,142
pus,140
raw milk,140
Nasal perirectal swab,140
Other Sterile Site,139
sputum or oropharyngeal,138
groin,136
Blood Culture,133
surveillance sample,130
lung,128
Bacterial Isolate from Human Clinical Sample,121
nares/axilla/groin swab,121
Secretion,121
Nasal-perirectal swab,119
Bulk tank milk,118
wound swab,113
swab (wound),113
soft tissue,109
respiratory,107
deep tissue sample,105
respiratory tract,103
Isolated from milk sample taken from dairy farm bulk milk tank,103
Ear discharge,103
"pooled four-site surveillance swab (nares, axilla, umbilical stump, and inguinal region)",102
ThroatNasal,102
Sputum/Bronch,100
Raw milk,100
Left-Forearm,100
Pus or wound exudate,97
body swab,95
Oral,94
human orapharyngeals,93
Cystic Fibrosis airway culture,91
Osteomyelitis,88
secretion,87
Pus/Wound swab,87
Tank milk,79
pig,78
