geo_loc_name,records
United Kingdom,9743
Netherlands,7235
USA: Pennsylvania,5336
USA,4874
Denmark:Copenhagen,3926
China,2674
Saudi Arabia,1720
France,1636
Germany,1635
"USA: Pittsburgh, Pennsylvania",1581
Switzerland,1570
"USA: Philadelphia, PA",1435
Australia,1425
Mexico: Mexico City,1305
"USA: New York, NY",1214
China: Shanghai,1041
Denmark,965
Norway,924
"USA: Iowa City, IA",924
"USA: Iowa, Iowa City",812
Japan:Hiroshima,805
USA: Northern New England,763
Japan,755
<missing>,728
New Zealand,707
USA:Pennsylvania,631
USA: Midwest,590
not provided,585
Spain,584
China:Hubei,572
Australia:Queensland,508
Japan:Tokyo,469
USA: Illinois,469
China:Shanghai,448
Australia: Melbourne,445
USA:New York City,430
Italy,389
USA:Boston,382
USA: Pittsburgh,378
Australia: Queensland,363
USA: GA,362
USA: St. Louis,350
Samoa,345
Thailand,344
China:Suzhou,344
Slovenia,339
"Spain: Sabadell, Barcelona",319
USA: New York City,304
China: Jiangxi,296
"USA: Baltimore, MD",295
New Zealand: Waikato,284
USA: Georgia,275
Germany: Heidelberg,269
Sweden,266
USA: California,259
Ireland,248
France: Franche comte,247
Tanzania,239
"USA: Pittsburgh, PA",228
Ghana,216
USA: NY,209
"USA: Detroit, MI",205
Poland,204
Denmark: Aarhus,204
Australia:Victoria,198
"USA: San Diego, CA",197
China: Tianjin,197
Nigeria,192
"Denmark: Hvidovre, Copenhagen",178
Hungary,177
Canada: Ontario,176
France: Limoges,172
China: Guangdong,169
USA:Boston MA,167
"USA:Pensylvannia, Philadelphia",167
"USA: Arizona, Yuma",166
China:WuHan,164
Denmark: Odense,162
China: Hangzhou,156
Australia: New South Wales,156
not collected,156
Japan:Kanazawa,153
Portugal,151
"USA:Minnesota,Rochester",151
China:Henan,151
New Zealand: Taranaki,151
Taiwan,150
USA:PR,149
Jersey,148
Brazil:Rio de Janeiro,145
Italy: Pavia,141
Australia: Victoria,139
USA:Cincinatti,138
China:Shandong,138
"USA: Buffalo, NY",133
Fiji: Suva,131
Gambia,126
China: Chongqing,125
Czech Republic,125
Algeria,124
