year,records,mrsa_marker_positive,nonhuman,livestock,companion_animal,food,environment,human_or_clinical,unknown,unique_countries,mrsa_pct,nonhuman_pct
2015,1297,1062,146,27,44,11,64,921,230,45,81.88,11.26
2016,2289,1538,113,109,0,2,2,1562,614,32,67.19,4.94
2017,1281,957,106,79,9,11,7,799,376,32,74.71,8.27
2018,2024,1206,192,141,28,2,21,1584,248,43,59.58,9.49
2019,1942,1373,218,139,19,47,13,1534,190,31,70.7,11.23
2020,10552,7787,531,293,37,131,70,5678,4343,61,73.8,5.03
2021,7072,3713,435,227,1,136,71,5481,1156,52,52.5,6.15
2022,37362,21161,2262,1147,34,691,390,24005,11095,74,56.64,6.05
2023,44954,26038,2432,1382,244,749,57,30503,12019,94,57.92,5.41
2024,17206,7836,2631,2351,26,199,55,9784,4791,58,45.54,15.29
2025,29158,13132,2568,1248,710,475,135,14801,11789,70,45.04,8.81
