year,records,mrsa_marker_positive,nonhuman,livestock,companion_animal,food,environment,human_or_clinical,unknown,unique_countries,mrsa_pct,nonhuman_pct
2015,6125,3670,560,218,70,263,9,4912,653,48,59.92,9.14
2016,5940,4053,772,394,38,327,13,4634,534,63,68.23,13.0
2017,9698,6305,786,473,68,214,31,7604,1308,62,65.01,8.1
2018,11096,6329,698,424,124,121,29,9957,441,55,57.04,6.29
2019,14248,8797,1022,660,133,188,41,11393,1833,61,61.74,7.17
2020,10618,7012,696,360,112,130,94,9560,362,69,66.04,6.55
2021,6560,3426,962,643,178,107,34,5262,336,52,52.23,14.66
2022,11726,3768,816,519,90,131,76,5352,5558,55,32.13,6.96
2023,7694,2995,360,126,111,44,79,4688,2646,47,38.93,4.68
2024,2334,1356,284,109,5,150,20,1882,168,40,58.1,12.17
2025,908,450,227,79,1,140,7,588,93,27,49.56,25.0
