gene,human_or_clinical_n,human_or_clinical_pos,human_or_clinical_pct,human_or_clinical_ci,livestock_n,livestock_pos,livestock_pct,livestock_ci,companion_animal_n,companion_animal_pos,companion_animal_pct,companion_animal_ci,food_n,food_pos,food_pct,food_ci,environment_n,environment_pos,environment_pct,environment_ci,unknown_n,unknown_pos,unknown_pct,unknown_ci
mecA (methicillin),65850,41575,63.14,62.77-63.5,4005,1322,33.01,31.57-34.48,930,439,47.2,44.01-50.42,1815,595,32.78,30.66-34.98,433,298,68.82,64.31-73.0,13914,3675,26.41,25.69-27.15
mecC (methicillin),65850,130,0.2,0.17-0.23,4005,17,0.42,0.27-0.68,930,1,0.11,0.02-0.61,1815,0,0.0,0.0-0.21,433,0,0.0,0.0-0.88,13914,109,0.78,0.65-0.94
blaZ (penicillinase),65850,48532,73.7,73.36-74.04,4005,2069,51.66,50.11-53.21,930,689,74.09,71.17-76.8,1815,1048,57.74,55.45-59.99,433,308,71.13,66.69-75.2,13914,8659,62.23,61.42-63.03
tet(K),65850,8237,12.51,12.26-12.76,4005,730,18.23,17.06-19.45,930,36,3.87,2.81-5.31,1815,452,24.9,22.97-26.94,433,49,11.32,8.67-14.65,13914,1066,7.66,7.23-8.12
tet(M),65850,5110,7.76,7.56-7.97,4005,788,19.68,18.47-20.94,930,274,29.46,26.62-32.47,1815,272,14.99,13.42-16.7,433,120,27.71,23.71-32.11,13914,721,5.18,4.83-5.56
tet(L),65850,669,1.02,0.94-1.1,4005,721,18.0,16.84-19.22,930,47,5.05,3.82-6.66,1815,42,2.31,1.72-3.11,433,52,12.01,9.28-15.41,13914,240,1.72,1.52-1.95
any acquired tetracycline [tet(K/L/M/O)],65850,11788,17.9,17.61-18.2,4005,1516,37.85,36.36-39.37,930,322,34.62,31.63-37.74,1815,566,31.18,29.1-33.35,433,193,44.57,39.96-49.28,13914,1563,11.23,10.72-11.77
erm(A),65850,10382,15.77,15.49-16.05,4005,120,3.0,2.51-3.57,930,219,23.55,20.93-26.38,1815,30,1.65,1.16-2.35,433,115,26.56,22.62-30.91,13914,824,5.92,5.54-6.33
erm(B),65850,1857,2.82,2.7-2.95,4005,213,5.32,4.67-6.06,930,3,0.32,0.11-0.94,1815,238,13.11,11.64-14.74,433,28,6.47,4.51-9.19,13914,185,1.33,1.15-1.53
erm(C),65850,9222,14.0,13.74-14.27,4005,877,21.9,20.64-23.21,930,67,7.2,5.71-9.05,1815,208,11.46,10.08-13.01,433,69,15.94,12.79-19.68,13914,1125,8.09,7.64-8.55
any MLSb [erm(*)],65850,22340,33.93,33.56-34.29,4005,1209,30.19,28.79-31.63,930,362,38.92,35.84-42.1,1815,472,26.01,24.04-28.07,433,217,50.12,45.43-54.8,13914,2920,20.99,20.32-21.67
msr(A),65850,12787,19.42,19.12-19.72,4005,40,1.0,0.73-1.36,930,34,3.66,2.63-5.07,1815,55,3.03,2.34-3.92,433,31,7.16,5.09-9.98,13914,488,3.51,3.21-3.83
mph(C),65850,12386,18.81,18.51-19.11,4005,28,0.7,0.48-1.01,930,25,2.69,1.83-3.94,1815,28,1.54,1.07-2.22,433,30,6.93,4.9-9.72,13914,300,2.16,1.93-2.41
aac(6')-Ie/aph(2'')-Ia (gentamicin),65850,7406,11.25,11.01-11.49,4005,771,19.25,18.06-20.5,930,322,34.62,31.63-37.74,1815,210,11.57,10.18-13.12,433,153,35.33,30.98-39.95,13914,1000,7.19,6.77-7.63
any aminoglycoside [aac/ant/aph],65850,28067,42.62,42.25-43.0,4005,1156,28.86,27.48-30.29,930,489,52.58,49.37-55.77,1815,441,24.3,22.38-26.32,433,244,56.35,51.64-60.95,13914,2282,16.4,15.79-17.03
dfrG (trimethoprim),65850,5654,8.59,8.37-8.8,4005,867,21.65,20.4-22.95,930,36,3.87,2.81-5.31,1815,323,17.8,16.11-19.62,433,74,17.09,13.84-20.92,13914,627,4.51,4.17-4.86
dfrS1 (trimethoprim),65850,3363,5.11,4.94-5.28,4005,40,1.0,0.73-1.36,930,98,10.54,8.72-12.68,1815,15,0.83,0.5-1.36,433,23,5.31,3.57-7.84,13914,341,2.45,2.21-2.72
any trimethoprim [dfr*],65850,12567,19.08,18.79-19.39,4005,1170,29.21,27.83-30.64,930,211,22.69,20.11-25.49,1815,489,26.94,24.95-29.03,433,125,28.87,24.8-33.31,13914,2139,15.37,14.78-15.98
fusB (fusidic acid),65850,1051,1.6,1.5-1.69,4005,17,0.42,0.27-0.68,930,5,0.54,0.23-1.25,1815,8,0.44,0.22-0.87,433,0,0.0,0.0-0.88,13914,207,1.49,1.3-1.7
fusC (fusidic acid),65850,2786,4.23,4.08-4.39,4005,21,0.52,0.34-0.8,930,4,0.43,0.17-1.1,1815,9,0.5,0.26-0.94,433,3,0.69,0.24-2.02,13914,1161,8.34,7.9-8.82
gyrA/parC QRDR mutation (fluoroquinolone),65850,23481,35.66,35.29-36.02,4005,1053,26.29,24.95-27.68,930,389,41.83,38.7-45.03,1815,274,15.1,13.52-16.82,433,230,53.12,48.41-57.77,13914,2312,16.62,16.01-17.24
PVL [lukS-PV/lukF-PV],65850,15050,22.85,22.54-23.18,4005,64,1.6,1.25-2.04,930,25,2.69,1.83-3.94,1815,124,6.83,5.76-8.09,433,41,9.47,7.06-12.59,13914,994,7.14,6.73-7.58
scn (IEC / staph. complement inhibitor),65850,57633,87.52,87.27-87.77,4005,569,14.21,13.16-15.32,930,598,64.3,61.17-67.32,1815,810,44.63,42.35-46.92,433,310,71.59,67.17-75.64,13914,11552,83.02,82.39-83.64
sak (IEC / staphylokinase),65850,52367,79.52,79.21-79.83,4005,508,12.68,11.69-13.75,930,474,50.97,47.76-54.17,1815,691,38.07,35.87-40.33,433,274,63.28,58.64-67.68,13914,9341,67.13,66.35-67.91
tst (TSST-1),65850,5619,8.53,8.32-8.75,4005,194,4.84,4.22-5.55,930,143,15.38,13.2-17.84,1815,146,8.04,6.88-9.39,433,44,10.16,7.66-13.37,13914,1703,12.24,11.71-12.79
sea (enterotoxin A),65850,8101,12.3,12.05-12.56,4005,81,2.02,1.63-2.51,930,137,14.73,12.6-17.15,1815,198,10.91,9.56-12.43,433,80,18.48,15.1-22.4,13914,2030,14.59,14.01-15.19
seb (enterotoxin B),65850,5243,7.96,7.76-8.17,4005,89,2.22,1.81-2.73,930,88,9.46,7.74-11.51,1815,208,11.46,10.08-13.01,433,96,22.17,18.51-26.32,13914,862,6.2,5.81-6.61
sec (enterotoxin C),65850,5967,9.06,8.84-9.28,4005,181,4.52,3.92-5.21,930,136,14.62,12.5-17.04,1815,207,11.4,10.02-12.95,433,66,15.24,12.16-18.93,13914,1457,10.47,9.97-10.99
sed (enterotoxin D),65850,4841,7.35,7.15-7.55,4005,39,0.97,0.71-1.33,930,19,2.04,1.31-3.17,1815,68,3.75,2.97-4.72,433,7,1.62,0.79-3.3,13914,371,2.67,2.41-2.95
see (enterotoxin E),65850,7,0.01,0.01-0.02,4005,0,0.0,-0.0-0.1,930,0,0.0,0.0-0.41,1815,0,0.0,0.0-0.21,433,0,0.0,0.0-0.88,13914,9,0.06,0.03-0.12
eta (exfoliative toxin A),65850,1444,2.19,2.08-2.31,4005,6,0.15,0.07-0.33,930,8,0.86,0.44-1.69,1815,12,0.66,0.38-1.15,433,2,0.46,0.13-1.67,13914,174,1.25,1.08-1.45
etb (exfoliative toxin B),65850,618,0.94,0.87-1.02,4005,1,0.02,0.0-0.14,930,1,0.11,0.02-0.61,1815,0,0.0,0.0-0.21,433,0,0.0,0.0-0.88,13914,24,0.17,0.12-0.26
cna (collagen adhesin),65850,8549,12.98,12.73-13.24,4005,925,23.1,21.82-24.43,930,128,13.76,11.7-16.13,1815,228,12.56,11.12-14.17,433,25,5.77,3.94-8.38,13914,1998,14.36,13.79-14.95
