gene,source,source_pos,source_n,human_pos,human_n,odds_ratio_vs_human,ci95_low,ci95_high,fisher_p
mecA (methicillin),livestock,1322,4005,41575,65850,0.288,0.269,0.308,1.421565368834457e-306
mecA (methicillin),companion_animal,439,930,41575,65850,0.522,0.459,0.594,1.2231482200786889e-22
mecA (methicillin),food,595,1815,41575,65850,0.285,0.258,0.314,6.166990644777994e-147
mecA (methicillin),environment,298,433,41575,65850,1.289,1.051,1.58,0.014301265296164205
mecC (methicillin),livestock,17,4005,130,65850,2.155,1.299,3.576,0.006346788338029571
mecC (methicillin),companion_animal,1,930,130,65850,0.544,0.076,3.897,1.0
mecC (methicillin),food,0,1815,130,65850,0.139,0.009,2.23,0.05339415939099726
mecC (methicillin),environment,0,433,130,65850,0.581,0.036,9.351,1.0
blaZ (penicillinase),livestock,2069,4005,48532,65850,0.381,0.358,0.407,2.7069503635819264e-182
blaZ (penicillinase),companion_animal,689,930,48532,65850,1.02,0.88,1.183,0.821969301006368
blaZ (penicillinase),food,1048,1815,48532,65850,0.488,0.443,0.536,2.0045077111890932e-47
blaZ (penicillinase),environment,308,433,48532,65850,0.879,0.714,1.083,0.22856178235681457
tet(K),livestock,730,4005,8237,65850,1.559,1.434,1.695,1.3391030487002374e-23
tet(K),companion_animal,36,930,8237,65850,0.282,0.202,0.393,1.4847560646878398e-19
tet(K),food,452,1815,8237,65850,2.319,2.08,2.586,2.7607563870598395e-45
tet(K),environment,49,433,8237,65850,0.893,0.662,1.203,0.5115785092017405
tet(M),livestock,788,4005,5110,65850,2.912,2.68,3.163,1.2101727068847805e-117
tet(M),companion_animal,274,930,5110,65850,4.965,4.3,5.733,1.1505164769555088e-82
tet(M),food,272,1815,5110,65850,2.095,1.836,2.391,3.0622619726774974e-24
tet(M),environment,120,433,5110,65850,4.557,3.685,5.635,7.549187410310347e-35
tet(L),livestock,721,4005,669,65850,21.391,19.145,23.9,0.0
tet(L),companion_animal,47,930,669,65850,5.186,3.83,7.022,3.568040111972522e-18
tet(L),food,42,1815,669,65850,2.308,1.684,3.164,3.1041559274865334e-06
tet(L),environment,52,433,669,65850,13.298,9.855,17.943,1.7502857652237524e-37
any acquired tetracycline [tet(K/L/M/O)],livestock,1516,4005,11788,65850,2.793,2.613,2.987,5.637293336468772e-181
any acquired tetracycline [tet(K/L/M/O)],companion_animal,322,930,11788,65850,2.429,2.119,2.784,1.5951215210557374e-33
any acquired tetracycline [tet(K/L/M/O)],food,566,1815,11788,65850,2.078,1.878,2.3,2.3052065975939024e-41
any acquired tetracycline [tet(K/L/M/O)],environment,193,433,11788,65850,3.688,3.048,4.462,3.4345988882915316e-37
erm(A),livestock,120,4005,10382,65850,0.165,0.137,0.198,2.980027012261169e-147
erm(A),companion_animal,219,930,10382,65850,1.646,1.412,1.918,8.906042157499201e-10
erm(A),food,30,1815,10382,65850,0.09,0.063,0.129,9.841925139213902e-91
erm(A),environment,115,433,10382,65850,1.932,1.559,2.394,1.010939986030825e-08
erm(B),livestock,213,4005,1857,65850,1.936,1.674,2.239,1.692550860368876e-16
erm(B),companion_animal,3,930,1857,65850,0.112,0.036,0.347,2.874242208582242e-08
erm(B),food,238,1815,1857,65850,5.201,4.504,6.006,2.231715875195676e-80
erm(B),environment,28,433,1857,65850,2.382,1.62,3.504,6.35683818841787e-05
erm(C),livestock,877,4005,9222,65850,1.722,1.592,1.861,7.462451338737799e-39
erm(C),companion_animal,67,930,9222,65850,0.477,0.371,0.612,1.6797445027745823e-10
erm(C),food,208,1815,9222,65850,0.795,0.687,0.92,0.001758213669786456
erm(C),environment,69,433,9222,65850,1.164,0.899,1.507,0.26605765622226063
any MLSb [erm(*)],livestock,1209,4005,22340,65850,0.842,0.786,0.903,1.0045291774214128e-06
any MLSb [erm(*)],companion_animal,362,930,22340,65850,1.241,1.087,1.418,0.001690593269334842
any MLSb [erm(*)],food,472,1815,22340,65850,0.684,0.616,0.761,7.806942204685178e-13
any MLSb [erm(*)],environment,217,433,22340,65850,1.957,1.62,2.364,5.848248549377299e-12
msr(A),livestock,40,4005,12787,65850,0.042,0.031,0.057,9.622606688541297e-294
msr(A),companion_animal,34,930,12787,65850,0.157,0.112,0.222,6.463920094264045e-46
msr(A),food,55,1815,12787,65850,0.13,0.099,0.17,4.868183263483326e-97
