metric,source,n,median,q1,q3,mean,kruskal_H,kruskal_p
number_amr_genes,human_or_clinical,65849,11.0,8.0,14.0,11.22,1251.55,1.0610348244378996e-269
number_amr_genes,livestock,4005,6.0,3.0,15.0,9.47,1251.55,1.0610348244378996e-269
number_amr_genes,companion_animal,930,10.0,7.0,15.0,10.98,1251.55,1.0610348244378996e-269
number_amr_genes,food,1815,8.0,5.0,12.0,8.41,1251.55,1.0610348244378996e-269
number_amr_genes,environment,433,13.0,8.0,19.0,13.45,1251.55,1.0610348244378996e-269
number_virulence_genes,human_or_clinical,65849,16.0,14.0,19.0,15.83,4129.59,0.0
number_virulence_genes,livestock,4005,13.0,10.0,14.0,12.22,4129.59,0.0
number_virulence_genes,companion_animal,930,14.0,10.0,18.0,14.13,4129.59,0.0
number_virulence_genes,food,1815,13.0,11.0,15.0,13.11,4129.59,0.0
number_virulence_genes,environment,433,16.0,13.0,19.0,15.47,4129.59,0.0
