iso3,records,income_group,country,non_human_records,population,gdp_pc_usd,health_exp_pc_usd,physicians_per_1k,hosp_beds_per_1k,records_per_million,log_pop
USA,25672,High income,United States,591,336755052,82586.7847707894,13473.19335938,3.681,2.68,76.233,19.634866375369388
GBR,9955,High income,United Kingdom,39,68526000,49919.6896621586,5407.17041016,3.301,2.42,145.273,18.042723793260798
CHN,8684,Upper middle income,China,2188,1410710000,12951.1782397043,763.37762451,3.112,5.63,6.156,21.067358960698986
NLD,7259,High income,Netherlands,176,17877117,63515.6030780019,6371.85595703,3.876,2.42,406.05,16.699032073098078
DNK,5446,High income,Denmark,190,5946952,68043.5466971243,6510.625,4.498,2.43,915.763,15.598389377359705
AUS,3678,High income,Australia,33,26659922,65058.3773146674,6980.38525391,4.086,3.82,137.96,17.098671946979124
JPN,3361,High income,Japan,574,124516650,35215.003535366,3638.19287109,2.649,12.59,26.992,18.639949999867074
FRA,2229,High income,France,225,68372286,44700.1384177544,5149.0546875,3.281,5.65,32.601,18.040478125048434
DEU,2064,High income,Germany,335,83287273,54776.7668235491,6394.62255859,4.534,7.55,24.782,18.23780631035019
SAU,1720,High income,Saudi Arabia,59,33702731,36156.8562500172,1825.2545166,3.406,2.41,51.034,17.33308943061481
CHE,1678,High income,Switzerland,86,8888822,104449.75451772,11783.66992188,4.477,4.38,188.776,16.000305090273624
NZL,1627,High income,New Zealand,926,5200000,49302.341876493,4997.24316406,3.611,2.51,312.885,15.464169183551656
MEX,1503,Upper middle income,Mexico,80,129739759,13830.843848864,760.98840332,2.588,1.01,11.585,18.681041148186182
ESP,1098,High income,Spain,126,48352528,33493.2225409111,3106.62011719,4.294,2.91,22.708,17.694029063915565
NOR,956,High income,Norway,32,5519601,90984.4087141111,8296.35546875,4.975,3.3,173.201,15.523816133032069
ITA,699,High income,Italy,172,58984216,39279.699782164,3283.47216797,4.191,3.06,11.851,17.892780440654956
THA,457,Upper middle income,Thailand,60,71702435,7210.54130832685,326.50482178,0.541,2.39,6.374,18.088035265941585
BRA,354,Upper middle income,Brazil,56,211140729,10377.5892792557,1009.83563232,2.357,2.52,1.677,19.168035431205283
WSM,345,Upper middle income,Samoa,0,216663,4822.74084650019,292.81085205,0.561,,1592.335,12.286098429983591
SVN,339,High income,Slovenia,15,2120461,32660.4753581346,3037.7644043,3.367,4.11,159.871,14.567144075838945
GHA,336,Lower middle income,Ghana,0,33787914,2383.90410476221,70.25730896,0.266,0.69,9.944,17.335613722543936
CAN,308,High income,Canada,27,40049088,54847.5370112652,6186.65234375,2.819,2.54,7.691,17.505616459683786
IND,304,Lower middle income,India,74,1438069596,2434.44826340989,84.68669891,0.723,1.59,0.211,21.08656749284882
IRL,290,High income,Ireland,130,5311538,106818.917130804,6877.9375,3.875,2.96,54.598,15.485391993464479
RUS,280,High income,Russian Federation,40,143826130,13986.9951171875,1003.33166504,5.111,6.81,1.947,18.78411569745315
SWE,278,High income,Sweden,3,10536632,54950.2834725622,6206.23046875,4.408,1.9,26.384,16.170368505420207
TZA,277,Lower middle income,Tanzania,37,66617606,1224.00219726563,36.25619888,0.134,0.84,4.158,18.014479454929518
KOR,254,High income,"Korea, Rep.",41,51712619,35674.095995632,3043.87329102,2.61,12.81,4.912,17.76121239093359
NGA,211,Lower middle income,Nigeria,54,227882945,2138.76383718757,66.82009125,0.38,,0.926,19.244342655961454
POL,210,High income,Poland,3,36687353,22145.2660647429,1577.98168945,4.031,6.04,5.724,17.417942648730254
CZE,210,High income,Czechia,7,10864042,31761.5944102491,2671.08398438,4.352,6.54,19.33,16.20096899475252
ZAF,200,Upper middle income,South Africa,60,63212384,6034.27208964673,536.58843994,0.794,,3.164,17.962010789288605
BEL,186,High income,Belgium,77,11779946,55244.68145811,5931.01464844,3.574,5.42,15.79,16.28190915213646
HUN,185,High income,Hungary,39,9592186,22208.6509820466,1419.87475586,3.456,6.63,19.287,16.07645936666078
PRT,172,High income,Portugal,72,10578174,27634.6183139773,2762.26293945,5.851,3.48,16.26,16.174303379707034
DZA,150,Upper middle income,Algeria,42,46164219,5370.477235078,233.37947083,1.66,1.61,3.249,17.647715575467508
FJI,131,Upper middle income,Fiji,0,924145,5926.20586394763,212.88697815,0.813,1.89,141.753,13.736624264719087
GMB,126,Low income,"Gambia, The",17,2697845,883.024111978927,25.74407768,0.09,1.11,46.704,14.80796386413659
CHL,120,High income,Chile,0,19658835,17081.5180740049,1736.52038574,3.334,1.94,6.104,16.794037413552125
MYS,120,Upper middle income,Malaysia,4,35126298,11386.0395636528,450.33853149,2.341,1.96,3.416,17.374460638672065
LKA,92,Upper middle income,Sri Lanka,0,22037000,3815.41531767474,134.23654175,1.136,3.93,4.175,16.908233416831894
UGA,87,Low income,Uganda,1,48656601,1002.30913917142,45.21318436,0.191,,1.788,17.700298040845357
COL,87,Upper middle income,Colombia,0,52321152,7012.49169137756,571.15496826,2.535,1.7,1.663,17.77291128321944
ARE,75,High income,United Arab Emirates,56,10483751,49850.6945082084,2401.52026367,2.992,1.87,7.154,16.16533709266647
EGY,74,Lower middle income,"Egypt, Arab Rep.",2,114535772,3456.78965212363,141.41111755,0.671,1.06,0.646,18.556397751379823
AUT,70,High income,Austria,1,9131761,56579.504175468,6267.93164063,5.515,6.7,7.666,16.02726911458544
FIN,66,High income,Finland,40,5583911,52864.6931581216,5515.40478516,3.609,2.61,11.82,15.535399984901913
KEN,65,Lower middle income,Kenya,49,55339003,1942.58802756191,84.958992,0.289,1.33,1.175,17.828988516259066
KAZ,62,Upper middle income,Kazakhstan,44,20330104,12879.4275257974,489.71456909,3.754,6.54,3.05,16.827613301184165
LBN,57,Lower middle income,Lebanon,0,5773493,3477.72489842684,260.8119812,2.68,2.73,9.873,15.568787827937182
ARG,55,Upper middle income,Argentina,29,45538401,14261.8465667948,1456.98596191,5.106,3.36,1.208,17.634066505993967
PRY,53,Upper middle income,Paraguay,0,6844146,6303.26495017292,526.5098877,3.893,1.04,7.744,15.738904246320747
MWI,45,Low income,Malawi,0,21104482,633.214767978695,41.26664734,0.054,,2.132,16.864995992950597
DJI,43,Lower middle income,Djibouti,0,1152944,3381.29779710722,77.57087708,0.211,1.4,37.296,13.957829229121122
