gene,human_or_clinical,human_or_clinical_pos_n,livestock,livestock_pos_n,companion_animal,companion_animal_pos_n,food,food_pos_n,environment,environment_pos_n,chi2,dof,p_value,q_value_bh,min_expected_count,significant_q<0.05
mecA (methicillin),63.1 (62.77-63.5),41575/65850,33.0 (31.57-34.48),1322/4005,47.2 (44.01-50.42),439/930,32.8 (30.66-34.98),595/1815,68.8 (64.31-73.0),298/433,2123.909,4,0.0,0.0,170.77,True
tet(L),1.0 (0.94-1.1),669/65850,18.0 (16.84-19.22),721/4005,5.0 (3.82-6.66),47/930,2.3 (1.72-3.11),42/1815,12.0 (9.28-15.41),52/433,5559.049,4,0.0,0.0,9.08,True
PVL [lukS-PV/lukF-PV],22.9 (22.54-23.18),15050/65850,1.6 (1.25-2.04),64/4005,2.7 (1.83-3.94),25/930,6.8 (5.76-8.09),124/1815,9.5 (7.06-12.59),41/433,1489.888,4,0.0,0.0,90.73,True
sak (IEC / staphylokinase),79.5 (79.21-79.83),52367/65850,12.7 (11.69-13.75),508/4005,51.0 (47.76-54.17),474/930,38.1 (35.87-40.33),691/1815,63.3 (58.64-67.68),274/433,10462.613,4,0.0,0.0,110.98,True
scn (IEC / staph. complement inhibitor),87.5 (87.27-87.77),57633/65850,14.2 (13.16-15.32),569/4005,64.3 (61.17-67.32),598/930,44.6 (42.35-46.92),810/1815,71.6 (67.17-75.64),310/433,15808.094,4,0.0,0.0,77.74,True
tet(M),7.8 (7.56-7.97),5110/65850,19.7 (18.47-20.94),788/4005,29.5 (26.62-32.47),274/930,15.0 (13.42-16.7),272/1815,27.7 (23.71-32.11),120/433,1422.669,4,8.39637268692033e-307,4.618004977806182e-306,38.92,True
any acquired tetracycline [tet(K/L/M/O)],17.9 (17.61-18.2),11788/65850,37.9 (36.36-39.37),1516/4005,34.6 (31.63-37.74),322/930,31.2 (29.1-33.35),566/1815,44.6 (39.96-49.28),193/433,1420.727,4,2.2139402185579007e-306,1.0437146744630104e-305,85.29,True
mph(C),18.8 (18.51-19.11),12386/65850,0.7 (0.48-1.01),28/4005,2.7 (1.83-3.94),25/930,1.5 (1.07-2.22),28/1815,6.9 (4.9-9.72),30/433,1372.697,4,5.752590765916417e-296,2.3729436909405218e-295,74.09,True
msr(A),19.4 (19.12-19.72),12787/65850,1.0 (0.73-1.36),40/4005,3.7 (2.63-5.07),34/930,3.0 (2.34-3.92),55/1815,7.2 (5.09-9.98),31/433,1325.777,4,8.577902792049222e-286,3.145231023751382e-285,76.76,True
blaZ (penicillinase),73.7 (73.36-74.04),48532/65850,51.7 (50.11-53.21),2069/4005,74.1 (71.17-76.8),689/930,57.7 (55.45-59.99),1048/1815,71.1 (66.69-75.2),308/433,1103.356,4,1.4183907851039494e-237,4.6806895908430324e-237,120.87,True
dfrG (trimethoprim),8.6 (8.37-8.8),5654/65850,21.6 (20.4-22.95),867/4005,3.9 (2.81-5.31),36/930,17.8 (16.11-19.62),323/1815,17.1 (13.84-20.92),74/433,957.987,4,4.5402833160614147e-206,1.3620849948184246e-205,41.23,True
aac(6')-Ie/aph(2'')-Ia (gentamicin),11.2 (11.01-11.49),7406/65850,19.2 (18.06-20.5),771/4005,34.6 (31.63-37.74),322/930,11.6 (10.18-13.12),210/1815,35.3 (30.98-39.95),153/433,899.21,4,2.470637537772769e-193,6.794253228875115e-193,52.54,True
erm(A),15.8 (15.49-16.05),10382/65850,3.0 (2.51-3.57),120/4005,23.6 (20.93-26.38),219/930,1.6 (1.16-2.35),30/1815,26.6 (22.62-30.91),115/433,839.975,4,1.683101295279562e-180,4.2724879034019654e-180,64.42,True
