source_category,gene,records
companion_animal,mepA,930
companion_animal,tet(38),929
companion_animal,blaI,715
companion_animal,blaZ,689
companion_animal,blaR1,628
companion_animal,fosB,499
companion_animal,mecA,439
companion_animal,mecR1,404
companion_animal,glpT_A100V,334
companion_animal,murA_E291D,325
companion_animal,aac(6')-Ie/aph(2'')-Ia,322
companion_animal,gyrA_S84L,316
companion_animal,tet(M),274
companion_animal,parC_S80F,255
companion_animal,ant(9)-Ia,222
companion_animal,murA_D278E,222
companion_animal,erm(A),219
companion_animal,glpT_F3I,204
companion_animal,aadD1,146
companion_animal,parC_S80Y,128
companion_animal,mecI,114
companion_animal,murA_T396N,103
companion_animal,dfrS1,98
companion_animal,bleO,97
companion_animal,murA_G257D,93
companion_animal,erm(T),76
companion_animal,blaPC1,73
companion_animal,dfrK,73
companion_animal,rpoB_H481N,69
companion_animal,folP_F17L,68
environment,mepA,433
environment,tet(38),433
environment,blaI,328
environment,blaR1,314
environment,blaZ,308
environment,mecA,298
environment,fosB,272
environment,mecR1,223
environment,gyrA_S84L,180
environment,aac(6')-Ie/aph(2'')-Ia,153
environment,parC_S80Y,135
environment,aadD1,134
environment,glpT_A100V,129
environment,murA_E291D,127
environment,ant(9)-Ia,121
environment,tet(M),120
environment,erm(A),115
environment,mecI,106
environment,ant(6)-Ia,96
environment,parC_S80F,95
environment,parC_E84K,85
environment,bleO,76
environment,dfrG,74
environment,erm(C),69
environment,murA_T396N,65
environment,murA_D278E,62
environment,blaPC1,60
environment,fexA,57
environment,glpT_F3I,56
environment,aph(3')-IIIa,52
food,tet(38),1815
food,mepA,1793
food,blaI,1160
food,blaZ,1048
food,blaR1,966
food,glpT_A100V,837
food,murA_E291D,805
food,mecA,595
food,fosB,528
food,tet(K),452
food,murA_T396N,448
food,murA_D278E,357
food,glpT_F3I,340
food,dfrG,323
food,tet(M),272
food,erm(B),238
food,parC_S80F,238
food,mecR1,225
food,aac(6')-Ie/aph(2'')-Ia,210
food,erm(C),208
food,ant(6)-Ia,194
food,aph(3')-IIIa,170
food,gyrA_S84L,149
food,vga(A),142
food,aadD1,125
food,blaPC1,122
food,lnu(A),120
food,dfrE,113
food,glpT_L27F,101
food,ant(9)-Ia,74
human_or_clinical,tet(38),65539
human_or_clinical,mepA,65517
human_or_clinical,blaI,54531
human_or_clinical,blaR1,51682
human_or_clinical,blaZ,48532
human_or_clinical,fosB,41593
human_or_clinical,mecA,41575
human_or_clinical,mecR1,34171
human_or_clinical,gyrA_S84L,21108
human_or_clinical,glpT_A100V,18311
human_or_clinical,murA_E291D,17926
human_or_clinical,aph(3')-IIIa,13877
human_or_clinical,ant(6)-Ia,13440
human_or_clinical,murA_G257D,12833
human_or_clinical,msr(A),12787
human_or_clinical,mph(C),12386
human_or_clinical,parC_S80F,11946
human_or_clinical,parC_S80Y,11265
human_or_clinical,ant(9)-Ia,10791
human_or_clinical,sat4,10717
human_or_clinical,erm(A),10382
human_or_clinical,murA_D278E,9413
human_or_clinical,erm(C),9222
human_or_clinical,murA_T396N,8508
human_or_clinical,tet(K),8237
human_or_clinical,aadD1,8026
human_or_clinical,aac(6')-Ie/aph(2'')-Ia,7406
human_or_clinical,blaPC1,7004
human_or_clinical,mecI,6770
human_or_clinical,bleO,5804
livestock,tet(38),4004
livestock,mepA,3975
livestock,blaI,2391
livestock,blaR1,2118
livestock,blaZ,2069
livestock,glpT_A100V,1504
livestock,murA_E291D,1448
livestock,mecA,1322
livestock,fosB,1057
livestock,murA_D278E,891
livestock,glpT_F3I,888
livestock,erm(C),877
livestock,dfrG,867
livestock,parC_S80F,828
livestock,fexA,790
livestock,tet(M),788
livestock,aac(6')-Ie/aph(2'')-Ia,771
livestock,lsa(E),757
livestock,lnu(B),754
livestock,tet(K),730
livestock,tet(L),721
livestock,aadD1,712
livestock,blaPC1,703
livestock,ant(6)-Ia,699
livestock,spw,585
livestock,murA_T396N,560
livestock,gyrA_S84L,439
livestock,gyrA_S84A,438
livestock,rpsJ_Y58D,430
livestock,ant(9)-Ia,283
unknown,tet(38),13906
unknown,mepA,13889
unknown,blaI,10112
unknown,blaZ,8659
unknown,blaR1,7506
unknown,fosB,6901
unknown,glpT_A100V,5946
unknown,murA_E291D,5731
unknown,mecA,3675
unknown,murA_D278E,3040
unknown,murA_T396N,2692
unknown,mecR1,2529
unknown,gyrA_S84L,1912
unknown,parC_S80F,1770
unknown,blaPC1,1618
unknown,glpT_V213I,1582
unknown,glpT_F3I,1494
unknown,fusC,1161
unknown,erm(C),1125
unknown,tet(K),1066
unknown,aac(6')-Ie/aph(2'')-Ia,1000
unknown,dfrB_A135T,977
unknown,ant(9)-Ia,891
unknown,erm(T),834
unknown,erm(A),824
unknown,tet(M),721
unknown,ant(6)-Ia,650
unknown,dfrG,627
unknown,aph(3')-IIIa,608
unknown,murA_G257D,548
